onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.2_ir128_subnet_ID188,39318016,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID189,82903040,311296,311296,311296,311296,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.2_ir128_subnet_ID19,53352448,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID190,60235776,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID191,61931520,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID192,44712448,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID193,45914624,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID194,50030592,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID195,30720000,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID196,101554176,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID197,40007680,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID198,111288320,311296,311296,311296,311296,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.2_ir128_subnet_ID199,84000768,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID2,23933312,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID20,37699072,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID21,28524544,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID22,19713536,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID23,79134720,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID24,32867840,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID25,46995584,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID26,50946048,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
